level_0,index,datetime,total_real_power,reactive_power,voltage,current_intensity,kitchen,laundry_room,temp_control
0,0,2006-12-16 17:00:00,152.024,8.244,234.6438888888889,651.6,0.0,1.14,36.42
1,1,2006-12-16 18:00:00,217.932,4.802,234.58016666666666,936.0,0.0,24.18,60.72
2,2,2006-12-16 19:00:00,204.014,5.114,233.23250000000002,870.2,0.0,5.16,60.06
3,3,2006-12-16 20:00:00,196.114,4.506,234.07150000000001,835.0,0.0,0.0,60.42
4,4,2006-12-16 21:00:00,183.388,4.6,237.15866666666668,782.8,0.0,1.5,61.980000000000004
5,5,2006-12-16 22:00:00,132.008,3.37,238.76000000000002,571.4,0.0,0.48,15.96
6,6,2006-12-16 23:00:00,123.696,4.286,240.61966666666666,533.8,0.0,0.3,0.0
7,7,2006-12-17 00:00:00,112.948,6.146,240.96183333333332,487.6,0.0,1.68,0.0
8,8,2006-12-17 01:00:00,200.964,8.216,240.44833333333332,854.8,0.0,90.84,0.0
9,9,2006-12-17 02:00:00,95.236,4.694,245.81866666666667,412.2,0.0,2.04,0.0
10,10,2006-12-17 03:00:00,99.732,4.772,244.5135,432.40000000000003,0.0,2.76,0.0
11,11,2006-12-17 04:00:00,132.946,5.608,243.8555,560.0,0.0,2.04,31.98
12,12,2006-12-17 05:00:00,119.804,3.614,243.71016666666668,514.0,0.0,0.6,16.740000000000002
13,13,2006-12-17 06:00:00,78.19800000000001,5.69,244.1415,331.8,0.0,2.58,0.0
14,14,2006-12-17 07:00:00,97.202,3.588,241.84566666666666,408.2,0.0,0.6,0.0
15,15,2006-12-17 08:00:00,113.434,7.114,241.3115,483.0,0.0,2.6999999999999997,0.0
16,16,2006-12-17 09:00:00,152.944,4.7540000000000004,238.8478333333333,658.4,0.0,26.34,0.0
17,17,2006-12-17 10:00:00,217.734,11.676,235.44099999999997,932.0,31.98,80.46000000000001,58.14
18,18,2006-12-17 11:00:00,148.26,12.042,236.92466666666667,629.6,34.02,18.06,61.86
19,19,2006-12-17 12:00:00,114.952,17.642,237.78466666666665,488.2,0.0,1.92,62.34
20,20,2006-12-17 13:00:00,99.646,10.292,239.92066666666668,415.4,0.0,0.18,63.42
21,21,2006-12-17 14:00:00,125.55799999999999,15.444,244.04566666666668,516.0,0.0,1.2,65.64
22,22,2006-12-17 15:00:00,179.124,5.316,240.48083333333335,745.6,25.08,0.72,63.720000000000006
23,23,2006-12-17 16:00:00,199.562,5.588,236.78183333333334,840.4,30.900000000000002,0.24,61.800000000000004
24,24,2006-12-17 17:00:00,204.406,9.998,234.22983333333335,870.6,0.0,1.68,60.54
25,25,2006-12-17 18:00:00,221.826,8.104,234.37233333333333,945.0,0.0,0.0,60.6
26,26,2006-12-17 19:00:00,174.504,15.91,233.19566666666665,751.0,0.0,1.8599999999999999,60.06
27,27,2006-12-17 20:00:00,201.69,16.29,236.4265,856.6,0.0,4.02,61.620000000000005
28,28,2006-12-17 21:00:00,182.446,16.078,239.10416666666666,763.0,0.0,4.32,63.0
29,29,2006-12-17 22:00:00,91.08,14.122,242.19233333333332,383.0,0.0,1.5,9.0
30,30,2006-12-17 23:00:00,26.264,13.308,245.734,119.8,0.0,2.88,0.0
31,31,2006-12-18 00:00:00,16.582,5.944,244.60750000000002,73.4,0.0,0.12,0.0
32,32,2006-12-18 01:00:00,18.798,9.114,243.51933333333332,85.0,0.0,2.1,0.0
33,33,2006-12-18 02:00:00,17.068,6.544,246.89100000000002,75.39999999999999,0.0,0.0,0.0
34,34,2006-12-18 03:00:00,18.596,8.866,245.73183333333333,84.0,0.0,2.04,0.0
35,35,2006-12-18 04:00:00,61.58,4.8,245.507,250.6,0.0,0.24,45.18
36,36,2006-12-18 05:00:00,17.61,7.316,245.2531666666667,77.6,0.0,1.68,0.0
37,37,2006-12-18 06:00:00,36.6,6.774,245.70433333333332,156.0,0.0,0.3,0.0
38,38,2006-12-18 07:00:00,147.026,9.18,240.96233333333333,613.2,0.3,1.6199999999999999,40.68
39,39,2006-12-18 08:00:00,124.928,4.4239999999999995,237.88033333333334,523.6,44.88,0.12,62.46
40,40,2006-12-18 09:00:00,97.76,5.11,237.40466666666669,409.0,18.6,1.74,62.160000000000004
41,41,2006-12-18 10:00:00,78.578,3.17,239.0805,325.6,0.0,0.0,63.0
42,42,2006-12-18 11:00:00,93.716,7.64,239.77100000000002,388.2,0.0,1.8599999999999999,63.36
43,43,2006-12-18 12:00:00,105.364,5.238,242.57999999999998,434.8,0.0,0.0,64.86
44,44,2006-12-18 13:00:00,100.924,7.59,241.95416666666668,416.4,0.0,1.92,62.52
45,45,2006-12-18 14:00:00,103.982,2.958,242.19650000000001,425.8,0.0,0.0,62.580000000000005
46,46,2006-12-18 15:00:00,107.05799999999999,6.244,242.4235,438.6,0.0,1.8599999999999999,64.74000000000001
47,47,2006-12-18 16:00:00,116.958,12.266,242.38066666666666,485.8,0.0,0.0,64.74000000000001
48,48,2006-12-18 17:00:00,129.294,5.868,238.72916666666666,539.6,0.0,1.2,62.82
49,49,2006-12-18 18:00:00,144.152,4.746,236.66850000000002,605.0,0.0,0.8999999999999999,60.9
50,50,2006-12-18 19:00:00,156.87,12.046,235.32916666666668,671.4,0.0,32.760000000000005,0.0
51,51,2006-12-18 20:00:00,183.034,7.2219999999999995,234.52433333333335,782.8,0.0,1.7999999999999998,47.7
52,52,2006-12-18 21:00:00,130.184,4.304,237.59083333333334,554.4,0.0,0.0,13.38
53,53,2006-12-18 22:00:00,104.328,6.478,240.2115,435.0,0.0,31.860000000000003,0.0
54,54,2006-12-18 23:00:00,92.836,7.95,242.65933333333334,396.0,0.0,73.14,0.0
55,55,2006-12-19 00:00:00,50.228,5.57,242.07116666666667,212.6,0.0,3.48,29.34
56,56,2006-12-19 01:00:00,21.182,4.552,241.80833333333334,94.2,0.0,0.8999999999999999,2.64
